"Srid","RecommendationMode","EventDate","City","State","Country","Abstract","DateIssued","AddresseeDetails","IsMultipleRecipient","OverallStatus","OverallDateClosed","Recommendation","SR coding mode","SR coding tier 1","SR coding tier2","NtsbNo","Mkey","ReportNo","SrUrl","AccidentReportUrl"
"A-21-013","Aviation","2020-07-08T04:00:00Z","Washington","District of Columbia","","This report discusses the safety of revenue passenger-carrying operations conducted under Title 14 Code of Federal Regulations (CFR) Part 91. These operations, which carry thousands of passengers for compensation or hire each year, are not held to the same maintenance, airworthiness, and operational standards as air carrier, commuter and on demand, and air tour operations conducted under 14 CFR Parts 121, 135, and 136, respectively. This investigation focuses on the following categories of revenue passenger-carrying operations conducted under Part 91: exception from 14 CFR Part 119, exemption from certain Part 91 and 119 requirements, omission from Part 119 and other commercial regulations, and exploitation of Part 119 regulatory loopholes. Members of the public who pay to participate in Part 91 revenue passenger-carrying activities are likely unaware that these operations have less stringent requirements than other commercial aviation operations. As a result of this investigation, the National Transportation Safety Board makes six new safety recommendations to the Federal Aviation Administration.","2021-04-13T04:00:00Z","FAA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE FEDERAL AVIATION ADMINISTRATION: Require safety management systems for the revenue passenger-carrying operations addressed in Safety Recommendations A-21-9 and -10.",,,,"DCA20SP001","101570","AAR-21-03","https://data.ntsb.gov/carol-main-public/sr-details/A-21-013","https://www.ntsb.gov/investigations/Pages/DCA20SP001.aspx"
"A-21-014","Aviation","2020-07-08T04:00:00Z","Washington","District of Columbia","","This report discusses the safety of revenue passenger-carrying operations conducted under Title 14 Code of Federal Regulations (CFR) Part 91. These operations, which carry thousands of passengers for compensation or hire each year, are not held to the same maintenance, airworthiness, and operational standards as air carrier, commuter and on demand, and air tour operations conducted under 14 CFR Parts 121, 135, and 136, respectively. This investigation focuses on the following categories of revenue passenger-carrying operations conducted under Part 91: exception from 14 CFR Part 119, exemption from certain Part 91 and 119 requirements, omission from Part 119 and other commercial regulations, and exploitation of Part 119 regulatory loopholes. Members of the public who pay to participate in Part 91 revenue passenger-carrying activities are likely unaware that these operations have less stringent requirements than other commercial aviation operations. As a result of this investigation, the National Transportation Safety Board makes six new safety recommendations to the Federal Aviation Administration.","2021-04-13T04:00:00Z","FAA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE FEDERAL AVIATION ADMINISTRATION: For the revenue passenger-carrying operations addressed in Safety Recommendations A 21-9 and -10, provide ongoing oversight of each operator’s safety management system once established.",,,,"DCA20SP001","101570","AAR-21-03","https://data.ntsb.gov/carol-main-public/sr-details/A-21-014","https://www.ntsb.gov/investigations/Pages/DCA20SP001.aspx"
"A-21-007","Aviation","2020-01-26T22:45:00Z","Calabasas","California","USA","This report discusses the January 26, 2020, accident involving a Sikorsky S-76B helicopter, N72EX, being operated by Island Express Helicopters Inc. as a Title 14 Code of Federal Regulations (CFR) Part 135 on-demand flight, that crashed into terrain in Calabasas, California. The pilot and the eight passengers died. Safety issues identified in this report include the pilot’s preflight weather and flight risk planning, the flight’s entry into instrument meteorological conditions and the pilot’s inadequate adverse weather avoidance, the pilot’s spatial disorientation, influences on the pilot’s decision to continue the flight into adverse weather, Island Express’ incomplete implementation of its safety management system (SMS), the benefits of a mandatory SMS, the benefits of flight simulation devices for pilot training in adverse weather avoidance, the benefits of a flight data monitoring program, and the value of crash-resistant flight recorder systems in preventing future accidents. As a result of this investigation, the National Transportation Safety Board makes two new safety recommendations each to the Federal Aviation Administration and Island Express.","2021-02-25T05:00:00Z","Maverick Helicopters (formerly Island Express Helicopters, Inc.) | Open - Unacceptable Response | NA;
","false","Open - Unacceptable Response","","TO ISLAND EXPRESS HELICOPTERS INC.: Participate in the Federal Aviation Administration’s Safety Management System Voluntary Program.","Aviation","Quality / Safety Management","(general)","DCA20MA059","100863","AAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/A-21-007","https://www.ntsb.gov/investigations/Pages/DCA20MA059.aspx"
"A-21-008","Aviation","2020-01-26T22:45:00Z","Calabasas","California","USA","This report discusses the January 26, 2020, accident involving a Sikorsky S-76B helicopter, N72EX, being operated by Island Express Helicopters Inc. as a Title 14 Code of Federal Regulations (CFR) Part 135 on-demand flight, that crashed into terrain in Calabasas, California. The pilot and the eight passengers died. Safety issues identified in this report include the pilot’s preflight weather and flight risk planning, the flight’s entry into instrument meteorological conditions and the pilot’s inadequate adverse weather avoidance, the pilot’s spatial disorientation, influences on the pilot’s decision to continue the flight into adverse weather, Island Express’ incomplete implementation of its safety management system (SMS), the benefits of a mandatory SMS, the benefits of flight simulation devices for pilot training in adverse weather avoidance, the benefits of a flight data monitoring program, and the value of crash-resistant flight recorder systems in preventing future accidents. As a result of this investigation, the National Transportation Safety Board makes two new safety recommendations each to the Federal Aviation Administration and Island Express.","2021-02-25T05:00:00Z","Maverick Helicopters (formerly Island Express Helicopters, Inc.) | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO ISLAND EXPRESS HELICOPTERS, INC.: Install flight data recording devices capable of supporting a flight data monitoring (FDM) program on each helicopter in your fleet and establish an FDM program that reviews all available data sources to identify deviations from established norms and procedures as well as other potential safety issues.","Aviation, Aviation","Aircraft / Equipment / Facilities, Quality / Safety Management","Recorder systems, (general)","DCA20MA059","100863","AAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/A-21-008","https://www.ntsb.gov/investigations/Pages/DCA20MA059.aspx"
"P-21-002","Pipeline","2018-02-23T17:38:00Z","Dallas","Texas","USA","On February 23, 2018, at 6:38 a.m. local time, a natural gas–fueled explosion occurred at 3534 Espanola Drive, Dallas, Texas. The residence sustained major structural damage, but when first responders arrived on scene at 6:44 a.m., they observed no smoke or fire. Four family members were injured, and one was killed in the explosion. Following the explosion, National Transportation Safety Board (NTSB) investigators located a through-wall crack in the 71 year old natural gas main that served the residence. In the 2 days before this explosion, two gas-related incidents occurred on the same block at houses that were served by the same natural gas main, each resulting in significant structural damage and burn injuries to one occupant. The first occurred on February 21, 2018, at 5:49 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3527 Durango Drive. The second incident occurred on February 22, 2018, at 10:21 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3515 Durango Drive. As a result of this investigation, the NTSB issued new safety recommendations to the Pipeline and Hazardous Materials Safety Administration, the Railroad Commission of Texas, the Dallas Fire-Rescue Department, Atmos Energy Corporation, and the Gas Piping Technology Committee. The NTSB is also reiterating safety recommendations to the International Code Council, the National Fire Protection Association, and the Gas Technology Institute","2021-02-08T05:00:00Z","PHMSA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Evaluate industry’s implementation of the gas distribution pipeline integrity management requirements and develop updated guidance for improving their effectiveness. The evaluation should specifically consider factors that may increase the likelihood of failure such as age, increase the overall risk (including factors that simultaneously increase the likelihood and consequence of failure), and limit the effectiveness of leak management programs.","Pipeline","Quality / Safety Management","Safety risk management","PLD18FR002","96787","PAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/P-21-002","https://www.ntsb.gov/investigations/Pages/PLD18FR002.aspx"
"P-21-003","Pipeline","2018-02-23T17:38:00Z","Dallas","Texas","USA","On February 23, 2018, at 6:38 a.m. local time, a natural gas–fueled explosion occurred at 3534 Espanola Drive, Dallas, Texas. The residence sustained major structural damage, but when first responders arrived on scene at 6:44 a.m., they observed no smoke or fire. Four family members were injured, and one was killed in the explosion. Following the explosion, National Transportation Safety Board (NTSB) investigators located a through-wall crack in the 71 year old natural gas main that served the residence. In the 2 days before this explosion, two gas-related incidents occurred on the same block at houses that were served by the same natural gas main, each resulting in significant structural damage and burn injuries to one occupant. The first occurred on February 21, 2018, at 5:49 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3527 Durango Drive. The second incident occurred on February 22, 2018, at 10:21 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3515 Durango Drive. As a result of this investigation, the NTSB issued new safety recommendations to the Pipeline and Hazardous Materials Safety Administration, the Railroad Commission of Texas, the Dallas Fire-Rescue Department, Atmos Energy Corporation, and the Gas Piping Technology Committee. The NTSB is also reiterating safety recommendations to the International Code Council, the National Fire Protection Association, and the Gas Technology Institute","2021-02-08T05:00:00Z","PHMSA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Assist the Railroad Commission of Texas in conducting the audit recommended in Safety Recommendation P-21-4.","Pipeline","Procedures / Regulations","Maintenance/inspection","PLD18FR002","96787","PAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/P-21-003","https://www.ntsb.gov/investigations/Pages/PLD18FR002.aspx"
"P-21-004","Pipeline","2018-02-23T17:38:00Z","Dallas","Texas","USA","On February 23, 2018, at 6:38 a.m. local time, a natural gas–fueled explosion occurred at 3534 Espanola Drive, Dallas, Texas. The residence sustained major structural damage, but when first responders arrived on scene at 6:44 a.m., they observed no smoke or fire. Four family members were injured, and one was killed in the explosion. Following the explosion, National Transportation Safety Board (NTSB) investigators located a through-wall crack in the 71 year old natural gas main that served the residence. In the 2 days before this explosion, two gas-related incidents occurred on the same block at houses that were served by the same natural gas main, each resulting in significant structural damage and burn injuries to one occupant. The first occurred on February 21, 2018, at 5:49 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3527 Durango Drive. The second incident occurred on February 22, 2018, at 10:21 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3515 Durango Drive. As a result of this investigation, the NTSB issued new safety recommendations to the Pipeline and Hazardous Materials Safety Administration, the Railroad Commission of Texas, the Dallas Fire-Rescue Department, Atmos Energy Corporation, and the Gas Piping Technology Committee. The NTSB is also reiterating safety recommendations to the International Code Council, the National Fire Protection Association, and the Gas Technology Institute","2021-02-08T05:00:00Z","State of Texas, Railroad Commission | Closed - Acceptable Action | 8/23/2022;
","false","Closed - Acceptable Action","2022-08-23T04:00:00Z","TO THE RAILROAD COMMISSION OF TEXAS: With assistance from the Pipeline and Hazardous Materials Safety Administration, conduct a comprehensive audit of Atmos Energy Corporation’s incident-reporting practices; policies and procedures for responding to leaks, fires, explosions, and emergency calls; and integrity management programs.","Pipeline","Procedures / Regulations","Maintenance/inspection","PLD18FR002","96787","PAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/P-21-004","https://www.ntsb.gov/investigations/Pages/PLD18FR002.aspx"
"P-21-011","Pipeline","2018-02-23T17:38:00Z","Dallas","Texas","USA","On February 23, 2018, at 6:38 a.m. local time, a natural gas–fueled explosion occurred at 3534 Espanola Drive, Dallas, Texas. The residence sustained major structural damage, but when first responders arrived on scene at 6:44 a.m., they observed no smoke or fire. Four family members were injured, and one was killed in the explosion. Following the explosion, National Transportation Safety Board (NTSB) investigators located a through-wall crack in the 71 year old natural gas main that served the residence. In the 2 days before this explosion, two gas-related incidents occurred on the same block at houses that were served by the same natural gas main, each resulting in significant structural damage and burn injuries to one occupant. The first occurred on February 21, 2018, at 5:49 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3527 Durango Drive. The second incident occurred on February 22, 2018, at 10:21 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3515 Durango Drive. As a result of this investigation, the NTSB issued new safety recommendations to the Pipeline and Hazardous Materials Safety Administration, the Railroad Commission of Texas, the Dallas Fire-Rescue Department, Atmos Energy Corporation, and the Gas Piping Technology Committee. The NTSB is also reiterating safety recommendations to the International Code Council, the National Fire Protection Association, and the Gas Technology Institute","2021-02-08T05:00:00Z","ATMOS Energy Corporation | Closed - Acceptable Action | 9/6/2023;
","false","Closed - Acceptable Action","2023-09-06T04:00:00Z","TO ATMOS ENERGY CORPORATION: Revise your policies and procedures for responding to leaks, fires, explosions, and emergency calls to address the challenges caused by wet weather conditions. The revised policies and procedures should include: (1) leak investigation methods that are reliable in wet weather; (2) leak investigation procedures that assess all viable gas migration paths; (3) criteria for when to shut down or isolate gas distribution systems and pressure test main and service lines; and (4) an alternate safe response such as evacuation when reliable leak investigations are not possible due to wet weather or other circumstances.","Pipeline","Procedures / Regulations","Emergency response services","PLD18FR002","96787","PAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/P-21-011","https://www.ntsb.gov/investigations/Pages/PLD18FR002.aspx"
"P-21-013","Pipeline","2018-02-23T17:38:00Z","Dallas","Texas","USA","On February 23, 2018, at 6:38 a.m. local time, a natural gas–fueled explosion occurred at 3534 Espanola Drive, Dallas, Texas. The residence sustained major structural damage, but when first responders arrived on scene at 6:44 a.m., they observed no smoke or fire. Four family members were injured, and one was killed in the explosion. Following the explosion, National Transportation Safety Board (NTSB) investigators located a through-wall crack in the 71 year old natural gas main that served the residence. In the 2 days before this explosion, two gas-related incidents occurred on the same block at houses that were served by the same natural gas main, each resulting in significant structural damage and burn injuries to one occupant. The first occurred on February 21, 2018, at 5:49 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3527 Durango Drive. The second incident occurred on February 22, 2018, at 10:21 a.m., and resulted in one injury involving second-degree burns and significant structural damage to 3515 Durango Drive. As a result of this investigation, the NTSB issued new safety recommendations to the Pipeline and Hazardous Materials Safety Administration, the Railroad Commission of Texas, the Dallas Fire-Rescue Department, Atmos Energy Corporation, and the Gas Piping Technology Committee. The NTSB is also reiterating safety recommendations to the International Code Council, the National Fire Protection Association, and the Gas Technology Institute","2021-02-08T05:00:00Z","American Gas Association, Gas Piping Technology Committee | Closed - Acceptable Action | 3/5/2024;
","false","Closed - Acceptable Action","2024-03-05T05:00:00Z","TO THE GAS PIPING TECHNOLOGY COMMITTEE: Develop additional guidance that identifies steps gas distribution operators can take to safely respond to leaks, fires, explosions, and emergency calls, considering the limitations due to wet weather conditions, that includes: (1) criteria for when to shut down or isolate gas distribution systems, pressure test main and service lines, and begin evacuations; (2) leak investigation methods that are reliable in wet weather, (3) require an alternate safe response, such as an evacuation when reliable leak investigations are not possible due to wet weather, and (4) leak investigations that assess all viable gas migration paths, including granular backfill and crawlspaces.","Pipeline","Procedures / Regulations","Emergency response services","PLD18FR002","96787","PAR-21-01","https://data.ntsb.gov/carol-main-public/sr-details/P-21-013","https://www.ntsb.gov/investigations/Pages/PLD18FR002.aspx"
"M-20-014","Marine","2019-09-02T14:00:00Z","Ventura","California","USA","This report discusses the September 2, 2019, fire on board the 75-foot-long small passenger vessel Conception, operated by Truth Aquatics, Inc., in Platts Harbor on the north side of Santa Cruz Island, 21.5 nautical miles south-southwest of Santa Barbara, California. Thirty-three passengers and one crewmember died. Safety issues identified in this report include the lack of small passenger vessel regulations requiring smoke detection in all accommodation spaces; the lack of a roving patrol; small passenger vessel construction regulations for means of escape; and ineffective company oversight. As part of its accident investigation, the National Transportation Safety Board makes ten new safety recommendations to the US Coast Guard, associations that have members operating small passenger vessels with overnight accommodations, and Truth Aquatics, Inc.; the NTSB reiterates one safety recommendation to the Coast Guard.","2020-11-10T05:00:00Z","USCG | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE UNITED STATES COAST GUARD: Revise Title 46 Code of Federal Regulations Subchapter T to require that newly constructed vessels with overnight accommodations have smoke detectors in all accommodation spaces.",,,,"DCA19MM047","100177","MAR-20-03","https://data.ntsb.gov/carol-main-public/sr-details/M-20-014","https://www.ntsb.gov/investigations/Pages/DCA19MM047.aspx"
